CUSTEIO,DESCRICAO_UG,TOTAL_VALOR,INVESTIMENTOS,PESSOAL,UG
2099485,SECRETARIA DE ESTADO  DO TRABALHO E EMPREGO,"4.503.581,24","0,00","2.404.095,00",520027
80516679,SECRETARIA DE ESTADO DA  ASSISTÊNCIA E DESENVOLVIMENTO SOCIA,"86.585.885,85","1.195.814,00","4.873.392,00",510024
65808180,"SECRETARIA DE ESTADO DA AGRICULTURA, PECUÁRIA, PESCA E AQUIC","75.112.888,24","2.019.735,00","7.284.973,00",520030
1726559,"SECRETARIA DE ESTADO DA CIÊNCIA, DA TECNOLOGIA E DA INOVAÇÃO","3.663.457,13","664.252,00","1.272.645,00",520026
55175973,SECRETARIA DE ESTADO DA COMUNICAÇÃO,"56.701.518,18","14.997,00","1.510.547,00",110010
7111206,SECRETARIA DE ESTADO DA CULTURA,"9.682.821,99","56.035,00","2.515.580,00",510021
191428760,SECRETARIA DE ESTADO DA EDUCAÇÃO,"799.788.017,92","63.220.301,00","545.138.956,00",510020
62200792,SECRETARIA DE ESTADO DA FAZENDA,"253.081.496,20","0,00","190.880.703,00",410018
2086433,SECRETARIA DE ESTADO DA INFRAESTRUTURA,"258.558.495,41","250.585.556,00","5.886.505,00",530031
3799027,SECRETARIA DE ESTADO DA MULHER E DOS DIREITOS HUMANOS,"6.507.786,88","0,00","2.708.759,00",540037
1541324,SECRETARIA DE ESTADO DA SAÚDE,"232.391.905,11","4.567.853,00","226.282.726,00",510023
66622528,SECRETARIA DE ESTADO DA SEGURANÇA PÚBLICA,"114.550.815,88","16.567.909,00","31.360.378,00",540033
63309976,SECRETARIA DE ESTADO DE PREVENÇÃO À VIOLÊNCIA,"66.490.671,43","611.029,00","2.569.665,00",300041
139724987,SECRETARIA DE ESTADO DE RESSOCIALIZAÇÃO E INCLUSÃO SOCIAL,"219.628.667,92","13.897.773,00","66.005.907,00",340051
1613168,SECRETARIA DE ESTADO DE TRANSPORTE E DESENVOLVIMENTO URBANO,"194.774.395,75","189.182.701,00","3.978.525,00",350032
22706861,SECRETARIA DE ESTADO DO DESENVOLVIMENTO ECONÔMICO E TURISMO,"36.252.992,89","8.130.182,00","5.415.948,00",520028
22058698,"SECRETARIA DE ESTADO DO ESPORTE, LAZER E JUVENTUDE","24.973.174,57","1.241.124,00","1.673.351,00",360021
462269,SECRETARIA DE ESTADO DO MEIO AMBIENTE E DOS RECURSOS HIDRICO,"3.128.882,38","0,00","2.666.612,00",530032
9327433,"SECRETARIA DE ESTADO DO PLANEJAMENTO, GESTÃO E PATRIMÔNIO","90.742.164,47","55.961.571,00","25.453.159,00",410017
